R,G,B,x,y
239.29,191.4,189.1,208.8,319.7
178.93,95.765,100.51,416.95,284.2
254.98,254.98,254.99,253.51,290.68
210.21,187.05,189.18,314.3,164.94
207.36,188.69,158.84,372.74,252.21
220.18,189.94,181.26,366.94,284.64
41.973,91.32,50.242,449.91,226.89
31.549,125.1,73.226,475.97,214.07
31.208,126.44,68.338,432.17,219.98
204.78,191.23,169.27,169.54,282.62
171.55,106.34,61.104,369.21,425.74
233.04,157.5,61.815,407.1,160.85
251,247.88,248.24,217.24,236.02
226.64,221.01,213.03,334.64,259.64
182.94,163.42,98.124,393.34,189.65
184.46,187.95,182.86,221.88,155.58
215.56,188.49,158.4,360.38,202.28
185.56,152.94,87.761,463.27,164.89
223.04,225.12,209.95,341.29,243.84
135.11,41.162,36.226,436.98,270.56
249.24,244.88,244.83,296.91,187.38
220.12,223.86,208.33,336.37,234.61
107.91,155,192.91,403.11,343.26
129.81,28.16,26.284,208.62,416.77
200.28,182.05,182.46,325.55,155.17
252.69,253.1,250.95,279.51,306.04
232.93,226.16,223.43,286.34,169.05
229.37,189,188.84,217.45,325.05
216.63,215.46,214.77,186.73,237.52
239.78,239.73,226.97,274.68,322.38
46.023,87.584,48.785,451.61,227.98
108.75,40.993,30.258,447.7,250.81
238.05,238.33,227.68,270.43,320.11
222.1,143.81,123.81,372.05,144.14
254.99,254.99,254.99,281.52,292.82
46.484,132.86,83.805,566.15,194.93
213.33,169.12,152.52,389.83,276.28
195.62,202.53,190.15,362.4,343.72
185.15,181.66,138.34,378.05,215.37
247.38,244.7,244.49,294.18,184.73
56.598,146.36,82.382,441.21,199.85
141.17,168.98,119.3,394.4,216.72
220.38,215.12,205.08,273.64,160.99
156.72,138.59,105.23,244.53,400.38
147.31,94.702,72.895,418.59,253.11
252.44,248.19,247.8,300.25,205.76
116.02,161.83,108.72,402.71,218.4
218.24,200.27,199.08,351.45,293.61
227.56,214.54,205.57,202.3,292.39
136.86,141.65,180.63,406.53,335
221.57,192.01,162.3,349.2,354.01
136.43,97.739,116.13,417.74,36.112
239.5,223.8,217.26,317.26,198.81
236.74,230.24,226.35,282.54,168.76
222.67,195.03,188.14,204.21,195.59
215.02,201.79,187.46,274.4,154.1
208.75,167.58,149.14,145.52,207.64
202.21,180.97,181.48,331.44,160.34
99.018,95.915,76.814,514.16,226.69
241.72,228.98,227.54,211.64,215.02
253.95,254.34,253.15,282.56,303.38
148.79,22.819,20.976,194.77,435.67
226.64,234.26,234.77,313.74,313.55
131.79,97.314,72.575,420.02,247.27
203.39,194.7,177.66,268.28,151.23
255,255,255,279.04,234.96
219.09,193.58,167.63,353.77,203.94
230.95,162.08,65.532,489.96,135.22
226.63,213.08,214.74,301.58,171.41
238.8,225.97,227.77,329.47,278.67
231.6,247.71,246.17,244.68,38.534
205.28,185.02,157.47,161.94,288.81
237.06,221.92,213.57,320.99,201.13
52.81,104.57,145.89,81.513,226.03
53.904,127.01,174.22,44.767,228.75
255,255,255,258.03,258.06
222.86,212.01,208.17,215.65,189.92
216.37,219.45,217.84,318.3,321.2
178.24,81.746,104.18,423.09,291.52
55.319,115.21,142.28,95.468,249.47
153.27,162.36,158.24,131.15,237.33
174.25,114.06,74.337,376.93,440.27
54.096,143.55,77.581,434.67,202.1
0,0,0,479.99,536.96
248.51,250.81,250.31,216.73,265.82
199.53,173.38,121.28,379.15,191.04
100.41,150.29,98.985,409.01,222.73
153.64,215.18,178.76,548.95,159.07
184.59,181.04,137.31,380.26,212.07
254.98,254.98,254.99,298.12,260.54
84.092,105.99,79.69,106.54,301.77
90.137,52.063,34.79,444.45,244.58
173.54,129.57,123.73,577.14,229.84
238.72,239.27,228.67,316.71,215.86
232.33,217.27,212.98,345.43,275.08
224.93,188.51,159.62,361.88,175.95
116.63,143.77,184.65,406.92,339.52
229.09,195.68,189.94,235.5,336.68
213.78,155.71,75.135,462.3,156.98
125.32,112.44,102.89,11.097,349.37
224.93,225.65,207.24,328.8,217.74
237.09,165.49,67.312,532.31,110.83
200.15,196.39,177.52,255.41,145.93
210.45,203.08,189.3,270.96,155.81
208.18,203.32,198.49,342.88,326.29
254.77,254.78,254.7,296.88,220.47
195.93,174.56,162.7,194.81,172.66
196.14,164.3,147.55,317.38,127.53
223.94,75.379,89.25,153.27,430.44
193.16,167.47,160.76,315.07,142.99
60.316,144.26,77.798,433.76,200.74
231.53,212.53,192.76,248.7,335.27
185.76,172.27,118.87,385.59,196.83
241.17,231.82,224.31,317.87,205.56
182.74,205.7,202.65,375.8,335.43
255,255,255,270.23,273.68
169.92,175.42,131.84,382.45,220.82
155.55,100.67,98.483,551.5,283.59
215.04,213.01,211.33,222.46,184.35
45.643,96.722,58.168,471.89,223.12
209.96,213.09,193.09,253.56,96.527
102.07,148.75,98.564,409.14,223.9
216.35,214.25,191.5,337.79,221.41
209.4,206.78,207.51,355.27,313.92
205.49,176.76,145.84,165.53,177
133.93,129.67,138.47,114.26,220.93
222.63,202.63,178.9,348.67,206.76
210.39,242.64,238.67,237.69,38.541
169.71,46.992,105.76,455.43,302.97
226.84,211.95,203.44,347.63,266.55
242.76,240.32,238.44,281.52,174.66
21.819,130.08,70.003,464.42,211.19
172.63,63.02,115.92,473.31,303.47
73.217,47.501,78.495,374.94,69.625
35.275,107.58,62.404,465.01,220.39
200.01,189.89,198.78,386.18,323.66
240.44,232.28,230.91,329.84,272.62
253.89,254.01,253.79,274.31,196.49
255,255,255,245.09,244.33
255,255,255,264.01,243.5
201.19,179,164.55,191.88,154.88
237.57,245.61,247.89,311.51,302.9
153.77,129.99,127.33,163.11,128.27
208,174.57,116.53,381.11,183.94
158.52,77.059,65.549,422.7,270.53
208.35,175.37,153.61,326.75,112.58
243.19,186.23,100.36,472.86,108.91
254.87,254.77,254.8,289.31,208.59
232.41,179.92,167.19,194.97,340.95
