R,G,B,x,y
0.29,0.54,0.65,344.6,241.92
0.12,0.77,0.52,361.41,354.23
0.08,0.49,0.47,451.39,424.42
0.76,0.31,0.09,138.1,225.18
0.88,0.1,0.15,232.83,133.97
0.83,0.36,0.1,180.71,223.69
0.11,0.73,0.7,372.48,300.78
0.09,0.63,0.74,452.25,358.8
0.84,0.32,0.19,277.93,210.75
0.87,0.68,0.13,178.05,322.72
0.85,0.1,0.19,255.92,152.17
0.71,0.15,0.59,302.08,130.69
0.79,0.08,0.11,180.68,72.82
0.25,0.77,0.26,326,375.92
0.81,0.17,0.09,134.26,119.91
0.39,0.82,0.28,319.74,306.84
0.84,0.54,0.12,175.98,278.59
0.65,0.17,0.65,316.11,121.46
0.37,0.12,0.59,398.77,120.5
0.86,0.43,0.1,242.78,236.41
0.28,0.78,0.42,334.16,296.81
0.14,0.46,0.85,464.77,254.16
0.54,0.85,0.21,306.58,303.91
0.82,0.12,0.26,275.29,165.23
0.12,0.72,0.84,416.68,313.37
0.87,0.12,0.09,231.6,163.74
0.83,0.76,0.11,270.71,281.31
0.39,0.14,0.64,375.87,153.13
0.41,0.81,0.33,321.11,291.14
0.07,0.52,0.37,405.93,418.68
0.33,0.8,0.36,327.87,299.37
0.24,0.36,0.74,363.29,223.14
0.87,0.63,0.1,246.88,270.58
0.12,0.76,0.81,400.37,316.4
0.15,0.11,0.03,-6.19,316.08
0.56,0.82,0.12,287.97,368.84
0.87,0.74,0.1,250.9,295.46
0.84,0.56,0.12,179.27,281.57
0.84,0.12,0.18,265.9,171.53
0.57,0.83,0.11,287.59,360.14
0.88,0.16,0.09,215.45,161.48
0.52,0.15,0.63,339.88,157.09
0.74,0.72,0.18,291.73,261.07
0.01,0.09,0.12,647.43,410.19
0.13,0.44,0.83,401.15,245.6
0.73,0.83,0.1,278.37,315.15
0.86,0.76,0.1,259.32,294.59
0.47,0.15,0.65,359.34,142.08
0.73,0.14,0.54,284.41,99.18
0.84,0.14,0.18,268.72,179.95
0.29,0.2,0.7,372.25,192.66
0.74,0.57,0.25,295.89,237.48
0.12,0.59,0.87,450.51,284.27
0.72,0.3,0.08,123.61,237.31
0.87,0.58,0.11,260.28,251.21
0.11,0.34,0.7,534.04,259.62
0.09,0.55,0.54,448.85,412.94
0.8,0.68,0.1,164.64,373.95
0.54,0.17,0.65,347.27,89.59
0.75,0.24,0.08,120.44,170.69
0.84,0.67,0.13,274.14,257.59
0.74,0.15,0.54,286.79,108.54
0.59,0.42,0.48,318.73,220.04
0.12,0.58,0.87,452.88,283.41
0.86,0.72,0.11,263.82,277.98
0.15,0.27,0.76,427.3,217.85
0.13,0.41,0.84,428.11,245.79
0.11,0.7,0.83,393.93,288.67
0.82,0.31,0.1,147.74,187.26
0.17,0.22,0.73,460.53,196.36
0.16,0.25,0.75,441.38,208.62
0.81,0.8,0.1,269.7,299.69
0.83,0.33,0.09,204.29,223.55
0.8,0.16,0.09,132.56,109.27
0.08,0.52,0.61,500.99,399.75
0.8,0.24,0.09,132.42,158.16
0.74,0.15,0.55,290.47,119
0.13,0.47,0.82,394.63,248.09
0.11,0.7,0.79,384.29,289.14
0.42,0.27,0.67,345.46,201.34
0.86,0.28,0.12,261.3,208.9
0.6,0.85,0.18,300.18,302.5
0.8,0.47,0.12,151.28,266.33
0.67,0.78,0.2,298.02,274.41
0.67,0.18,0.06,94.68,150.27
0.74,0.83,0.09,275.1,318.17
0.15,0.27,0.77,431.17,217.39
0.15,0.36,0.82,462.08,231.72
0.88,0.21,0.11,161.07,129.35
0.12,0.73,0.66,366.06,300.79
0.13,0.43,0.82,401.38,243.59
0.83,0.15,0.21,275.44,180.83
0.85,0.27,0.09,245.8,211.06
0.69,0.81,0.17,294.31,284.75
0.13,0.39,0.82,414.66,240.33
0.22,0.74,0.54,344.58,287.55
0.86,0.09,0.14,218.81,111.93
0.16,0.2,0.7,422.99,201.6
0.44,0.84,0.21,311.16,316.02
0.53,0.78,0.3,312.12,273.5
0.81,0.47,0.12,162.92,261.6
0.18,0.15,0.57,540.7,139.98
0.26,0.11,0.58,419.23,139.83
0.12,0.52,0.85,404.1,257.3
0.25,0.81,0.28,327.67,345.21
0.13,0.41,0.84,432.82,244.82
0.89,0.22,0.1,194.13,160.96
0.85,0.27,0.15,268.91,206.53
0.64,0.15,0.53,314.63,165.93
0.83,0.12,0.34,270.75,141.2
0.85,0.14,0.15,263.23,182.51
0.11,0.72,0.76,412.56,341.32
0.14,0.42,0.83,483.66,246.5
0.84,0.14,0.18,268.55,178.36
0.17,0.26,0.76,449.91,207.01
0.8,0.26,0.27,288.88,201.79
0.1,0.61,0.84,455.74,314.86
0.42,0.8,0.17,304.43,372.3
0.29,0.17,0.68,377.65,185.35
0.87,0.11,0.11,236.11,157
0.72,0.19,0.07,109.99,149.68
0.25,0.18,0.68,382.26,192.79
0.85,0.14,0.1,162.09,101.44
0.82,0.39,0.1,174.52,236.69
0.37,0.82,0.27,320.29,312.86
0.14,0.43,0.79,380.26,239.57
0.32,0.8,0.37,329.58,300.37
0.83,0.11,0.35,263.95,123.86
0.11,0.61,0.87,453.43,296.61
0.64,0.18,0.5,315.1,181.84
0.86,0.31,0.11,159.01,173.03
0.12,0.6,0.88,443.8,283.43
0.45,0.84,0.18,308.44,323.29
0.27,0.14,0.64,456.43,128.24
0.28,0.11,0.56,419.14,124.71
0.28,0.44,0.71,352.39,230.03
0.08,0.55,0.19,343.8,424.79
0.86,0.19,0.08,214.89,181.85
0.43,0.05,0.18,210.15,12.43
0.81,0.33,0.09,158.39,214.41
0.12,0.74,0.41,355.2,380.08
0.13,0.65,0.77,370.84,270.31
0.87,0.12,0.11,192.2,110.39
0.86,0.22,0.1,251.64,200.5
0.87,0.66,0.11,257.69,268.03
0.12,0.76,0.61,368.16,328.16
0.18,0.78,0.36,339.56,364.13
0.13,0.3,0.69,531.6,233.04
0.5,0.11,0.04,52.42,105.41
0.69,0.61,0.28,302.1,242.28
0.06,0.51,0.37,407.57,419.54
0.67,0.17,0.64,308.95,112.63
0.69,0.22,0.07,107.17,188.98
0.54,0.16,0.64,338.97,144.24
0.83,0.4,0.1,192.88,237.57
0.23,0.15,0.65,468.86,147.33
0.05,0.46,0.17,354.7,443.55
0.61,0.15,0.58,320.28,159.64
0.52,0.16,0.66,355.74,119.72
0.51,0.25,0.61,333.3,196.55
0.85,0.36,0.09,233.46,228.07
0.73,0.69,0.09,188.65,402.99
0.13,0.54,0.86,469.79,272.89
0.09,0.6,0.72,474.54,368.94
0.18,0.2,0.7,485.93,180.28
0.16,0.28,0.78,447.52,214.78
0.27,0.51,0.08,291.9,446.26
0.1,0.66,0.78,434.99,339.74
